text,labels
"15. Министр энергетики России Николай Шульгинов заявил о возможности ускорить создание газового хаба в Турции. По его словам, на сегодняшний день для этого сложились все условия. Глава ведомства отметил, что сроки организации хаба на данный момент не определены, однако работа по этому вопросу продолжается. Думаю, сейчас сложились все условия для того, чтобы совместно с коллегами ускорить решение вопроса, сказал он.
",15. Энергетика
"16. Просили коменты за 19 год под этим постом
",16. Общее
"17. Появилось видео удара дроном Ланцет по радиолокационной станции немецкого комплекса ЗРК IRIST SLM
",17. Технологии
"18. В Россию возвращаютсяhttpsvpostmedia.rueventsdolyaalternativnogoimportanovykhavtomobileydostigla16 автомобили премиальных брендов. Альтернативный импорт набирает обороты таким образом в страну ввезен каждая шестая машина. Но 23 импорта китайцы. VwordMedia
",18. Общее
"19. На The Wall Street Journal вышло расследование из которого выяснилось, что Instagram Цукерберга продвигают обширную сеть педофилов и помогает продавать контент несовершеннолетних
",19. Общее
"20. В Благовещенске эксдепутата Заксобрания Амурской области от ЛДПР Сергея Труша оштрафовалиhttpst.mekriminalblag8836 на 1500 рублей за демонстрацию нацистской символики. Поводомhttpst.mesotaproject60453 стало то, что он разместил в одном из тгканалов видеоролик с пародией на песню Shaman Мы. В ролике певец сравнивается с мальчикомнацистом из фильма Кабаре. Фильм в свое время получил 8 наград Оскар, а в 1988 году был показан в СССР. Именно кадры из Кабаре, на которых изображена свастика, легли в основу обвинения. Это какойто театр абсурда. Я был в шоке от представителя Фемиды и от того вердикта, который я получил, отмечает Труш.
",20. Общее
"1. Хорошие новости о детёныше овцебыка, найденном на Таймыре в мае
",1. Общее
"2. Боевики 37й бригады ВСУ ноют изза того, что командование обманом бросило их в Новодонецкое, заявив, что __там никого нет
",2. Политика
"3. Госсовет Татарстана предложилhttpswww.kommersant.rudoc6029622?fromhorizont_lenta лишать водителей прав за нарушения, зафиксированные дорожными камерами. Сейчас за повторный выезд на встречную полосу движения и превышение скорости более чем на 60 кмч водительского удостоверения можно лишиться, только если нарушителя остановил инспектор ДПС. Автоматические комплексы в этом случае высылают владельцу транспортного средства штраф в 5 тыс. руб. Штрафы не дают результатов, пришли к выводу татарские парламентарии, поэтому суды, рассматривая дела о лишении прав, должны также принимать в качестве доказательств материалы видеофиксации.
",3. Политика
"4. Справедливая Россия За правду готовит поправки о праве подразделений территориальной обороны в приграничных регионах РФ использовать стрелковое оружие, заявил лидер партии Миронов.
",4. Политика
"5. httpsrybar
",5. Общее
"6. НьюЙорк после пожаров в соседней Канаде. banksta
",6. Общее
"7. Перспективы продления зерновой сделки РФ, Украины, Турции и ООН становятся все менее очевидными. Крест на инициативе может поставитьhttpswww.kommersant.rudoc6029681?fromvertical_lenta подрыв аммиакопровода ТольяттиОдесса, скорейшее возобновление работы которого было одним из главных требований Москвы. Как заявили в среду в МИД РФ, ремонт поврежденного взрывом участка трубопровода в Харьковской области может занять до трех месяцев, а срок действия сделки заканчивается уже 17 июля. Шанс высказать свои озабоченности российским дипломатам представится совсем скоро 9 июня в Женеве пройдет новый раунд тематических консультаций с ООН.
",7. Политика
"8. Сегодняшняя неудачная попытка ВСУ наступать в районе Берховского водохранилища в окрестностях Бахмута
",8. Общее
"9. Эволюционный смысл мастурбации объяснили британские учёные гипотезы о том, что самоудовлетворение является патологией или побочным продуктом возбуждения, признаны нефункциональными
",9. Образовательный контент
"10. Хохлы обиделись, пытаются сжечь Кременную фосфором.
",10. Общее
"11. Вест Хэм обладатель кубка Лиги Конференций!
",11. Общее
"12. Скорость течения Днепра после разрушения Каховской ГЭС выросла в десять раз, сообщили власти Херсонской области РФ. По их данным, пик наводнения смещается от Алёшек к Голой Пристани. Во многие места уже можно добраться только на лодках. Спасательная операция в подтопленных населённых пунктах попрежнему проходит под обстрелами. каховскаягэс
",12. Общее
"13. КТО ХОТЕЛ ПОБЕД?
",13. Общее
"14. Одному поцику, удалю через 1 мин
",14. Общее
"15. В Шереметьево поразило, что очень мало народа
",15. Общее
"16. Перспективы продления зерновой сделки РФ, Украины, Турции и ООН становятся все менее очевидными. Крест на инициативе может поставить подрыв аммиакопровода ТольяттиОдесса, скорейшее возобновление работы которого было одним из главных требований Москвы. banksta
",16. Общее
"17. Жительницу города Воткинска в Удмуртии Нину Кривощекову оштрафовали на 10 тысяч рублей изза видеообращения к президенту России Владимиру Путину, сообщает Baza. Женщину признали виновной в организации несогласованного митинга часть 2 статьи 20.2 КоАП. Ролик с участием местных жителей был записан в марте текущего года. Люди жаловались президенту на чиновников, которые уже 35 лет не могут починить дорогу и ветхий водопровод. После этого к Кривощековой домой пришли сотрудники Центра Э. На нее составили протокол. После суда женщина заявила, что власти все это затеяли, чтобы она не мешала им не работать. Примечательно, что после видеообращения воткинцев к Путину и наказания активистки, власти города так и не отремонтировали дорогу.
",17. Политика
"18. Битва на Запорожском фронте продолжается после массированной артподготовки колонны вражеской техники пришли в движение
",18. Общее
"19. Вести с фронта
",19. Общее
"20. Коллеги с LostArmour lost_armour посчитали подбитую и брошенную бронетехнику ВСУ на видеоhttpst.mevoenacher46116 Минобороны с Бахмутского направление, где ВСУ также пытаются наступать
",20. Общее
"1. Катастрофа на Каховской ГЭС остаетсяhttpswww.kommersant.rudoc6029691?fromvertical_lenta главной мировой новостью. Россия и Украина обвиняют в подрыве дамбы друг друга, используя при этом почти одинаковые формулировки и аргументы. Международное сообщество с назначением виновных не спешит. Тем не менее западные союзники Киева, воздерживаясь от окончательных выводов, дают понять если бы не решение Москвы начать боевые действия на территории Украины, катастрофы бы не случилось. Другие как Китай или Бразилия, а также альтернативно мыслящая Венгрия призывают увидеть в произошедшем сигнал, что сторонам пора прекращать огонь и садиться за стол переговоров. Не отстает и президент Турции Реджеп Тайип Эрдоган, предложивший созвать многостороннюю комиссию по расследованию инцидента, а также вернуться к мирному урегулированию. каховскаягэс
",1. Политика
"2. НАТО может ввести войска на территорию Украины, заявил бывший глава альянса
",2. Политика
"3. 58 армия, держитесь братцы! Сдюжите контрнахрюк, мы в вас верим!
",3. Общее
"4. Хохол пошёл в наступление на Запорожском направлении
",4. Политика
"5. Авиация отработала по нахрюку уже трижды
",5. Политика
"6. 58 армия, держитесь братцы! Сдюжите контрнахрюк, мы в вас верим!
",6. Общее
"7. Ночное наступление на Запорожском фронте началась танки врага атакуют наши позиции
",7. Политика
"8. Русская авиация без устали прожаривает наступающую нацистскую нечисть на Запорожском направлении. Русские солдаты достойно дают отпор на земле!
",8. Политика
"9. Кто там пиздел, что по РЛС httpst.mewarhistoryalconafter105192не попали?
",9. Общее
"10. Герани летят на Киев, Хаймарсы по Токмаку
",10. Общее
"11. С февраля по апрель 2023 года доходы России от экспорта нефти выросли на 14, а это значит, что введенный Западом ценовой потолок не работает, и его надо снизить вдвое, заявил в своем докладе финский Центр исследований в области энергетики и чистого воздуха CREA. В докладе CREA говорится, что в февралеапреле рост доходов России от экспорта нефти оказался максимальным с ноября 2022 года. Финские эксперты объяснили это тем, что поставки были успешно переориентированы на альтернативные рынки ближневосточные и азиатские. Также авторы доклада отметили, что в 2023 году Россия смогла экспортировать нефть сорта Urals по ценам выше установленного Западом потолка. В качестве вывода они предложили странам Большой семерки вдвое снизить ценовой потолок. Тогда российские доходы от экспорта нефти, по расчетам специалистов центра, должны сократиться на 37. Ранее, в 2022 году, Москва засекретила данные по экспорту нефти, а с марта 2023 года приостановила публикацию данных по добыче нефти и конденсата. В марте 2023 года агентство Bloomberg писало, что объемы экспорта нефти из России не изменились и превышали 3 млн баррелей в сутки. rtvinews
",11. Финансы
"12. Если очень коротко и так как можно
",12. Общее
"13. Работа спасателей в подтопленных населенных пунктах Херсонской области осложняется тем, что скорость течения Днепра после разрушения Каховской ГЭС выросла в десять раз, заявили местные власти
",13. Общее
"14. Уровень инфляции в России после падения до 5летних минимумов вновь начал расти. По итогам первой недели июня потребительская корзина из примерно сотни товаров и услуг подорожала на 0,21, отчиталось Минэкономразвития РФ. Темпы недельной инфляции ускорились в 2,5 раза с 0,08 неделей ранее, а годовой показатель, вырос до 2,7 с 2,4. Скачок недельной инфляции сильнейший с февраля выходит за пределы сезонной нормы и выглядит на первый взгляд пугающе, отмечает директор по инвестициям ИК ЛокоИнвест за последние 8 лет на первой неделе июня рост цен ни разу не превышал 0,2. Сказывается ослабление рубля, указывает Полевой с начала года доллар подорожал на 14, евро на 16, и следом поползли вверх цены на импорт лекарства и бытовую химию. Продовольственная инфляция, согласно Росстату, держится на минимумах 2,36 с начала года. Но отдельные продукты питания дорожают с двузначной скоростью картофель на 17,8, морковь на 62,2, лук на 119,1, капуста на 138,3 с начала года по 5 июня. Вторую неделю подряд резко дорожает курица на 2,4 после 1,5 неделей ранее. После обстрелов Белгородской области, одного из крупнейших регионовпроизводителей курятины, у ритейлеров возник дефицит самого дешевого вида мяса. Отпускной сезон предсказуемо взвинтил цены на авиабилеты 4,1 за неделю и путевки в дома отдыха и пансионаты 6,8.
",14. Финансы
"15. Владимир Рудольфович, это фотошопhttpst.meSolovievLive185051
",15. Общее
"16. Атака врага на Запорожском фронте в разгаре танки пытаются прорваться сквозь огонь российских войск
",16. Политика
"17. Дмитрий Рогозин завтра ожидаем резкое обострение обстановки на Запорожском направлении. Противник пришел в движение. Его ствольная и ракетная арта активно перемещается. Токмак и другие населённые пункты Запорожской области под постоянным огневым гнётом. То же следует ждать и на Донецком фронте.
",17. Политика
"18. 42 единицы техники ВСУ за эти несколько дней
",18. Политика
"19. Началось наступление ВСУ на Ореховском участке Запорожского направлении, об это сообщает ряд СМИ и военных телеграмканалов
",19. Политика
"20. Военкор Руденко Запорожская область Ореховский фронт противник пошел крупными силами. Высокая интенсивность артиллерии противника, большое колво танков и бронетехники в районе Малой Токмачки.
",20. Политика
"1. ВСУ предпринимают активные действия практически на всех направлениях. readovkanews
",1. Политика
"2. Прокуратура США уведомила Трампа о ведении против него уголовного расследования, пишет Politico. По данным ABC News, расследование связано с хранением Трампом секретных документов
",2. Политика
"3. Прокуратура США уведомила Трампа о ведении против него уголовного расследования, пишет Politico. По данным ABC News, расследование связано с хранением Трампом секретных документов.
",3. Политика
"4. Группа стран НАТО может ввести свои войска на Украину, The Guardian
",4. Политика
"5. Напротив 58 армии свинюхи продолжают рьяно лезть в бой
",5. Общее
"6. Стелют солому, на случай очередного проёба
",6. Общее
"7. Евгений Пригожин о своих ожиданиях от контрнаступления ВСУ __Мы понесем сейчас серьезные потери территориальные, я абсолютно в этом уверен. __Мы сейчас, скорее всего, лишимся части освобожденных территорийhttpst.merusbrief123866__. И ведь это часть территории Российской Федерации. Когда делали тот самый референдум, ктонибудь думал о том, что придется Херсон отдать? Ктонибудь подумал, что сейчас мы назовем это Россией? Если вы назвали Россией умрите. Все должны были прийти на линию соприкосновения Госдума, все чиновники, кто угодно. Весь Кремль должен был выйти на линию соприкосновения, чтобы не утратить ни одного квадратного метра России. А мы сегодня российскую землю раздаем? Зачем тогда ее было российской признавать? Поэтому общество все в недоумении.__
",7. Политика
"8. Запорожское направление
",8. Общее
"9. В ЛДПР предложили допускать иностранцев к автоперевозкам только при наличии российских водительских прав. Такие поправки в закон О безопасности дорожного движения предлагается внести в том числе изза роста числа аварий, произошедших по вине водителейиностранцев. Депутаты фракции ЛДПР уже направили законопроект на отзыв в правительство РФ.
",9. Политика
"10. Пушилин в интервью РИА Новости охарактеризовал обстановку в освобожденном Артемовске как сложную изза постоянных обстрелов со стороны украинских войск, но контролируемую
",10. Политика
"11. Всемирный банк проведет оценку ущерба изза подрыва дамбы Каховской ГЭС. каховскаягэс
",11. Общее
"12. Взрывы и воздушная тревога в Сумах области. Дроны камикадзе Герань бьют по целям.
",12. Общее
"13. Рома Винивитин, ты долбаеб совсем ?
",13. Общее
"14. Прямая линия президента России Владимира Путина состоится в этом году и, скорее всего, пройдет в ноябредекабре, говорит иcточник Коммерсанта в администрации президента
",14. Политика
"15. Видео завтра кто нибудь выложит
",15. Общее
"16. Ля какой теперь
",16. Общее
"17. Осталось только ботов закупить. Для полной картины деградации.
",17. Общее
"18. Оно там заявляет что оно боевой блять офицер.
",18. Общее
"19. А вот теперь покажем
",19. Общее
"20. Ромка там зачитывает как его трое суток били и не давали спать
",20. Общее
"1. Вицеспикер ГД Чернышов заявил РИА Новости, что предлагает уже этим летом обязать коммунальные службы сократить срок отключения горячей воды до 3 дней
",1. Политика
"2. Естественно я удалил всё с этим долбаемом
",2. Общее
"3. Платина из коментов.
",3. Общее
"4. Украинские СМИ сообщили о взрывах в Сумах
",4. Политика
"5. Ахахахах, ой не могу сукааааааааа
",5. Общее
"6. Российские военные поразили тяжелой огнеметной системой Солнцепек опорные пункты украинских войск под Артемовском, рассказали РИА Новости в Минобороны
",6. Политика
"7. В Белгороде сработала система ПВО. epoddubny
",7. Политика
"8. Расчеты РСЗО Град ЦВО на краснолиманском направлении применили метод огневого прочесывания, что позволило нанести значительный урон противнику и уничтожить его силы на данном участке фронта
",8. Политика
"9. Рекордное перераспределение ликвидности из депозитов в фонды денежного рынка и в облигации позволило улучшить конъюнктуру на долговом рынке в США
",9. Финансы
"10. Две трети российских родителей не согласны с идеей вицеспикера Госдумы Владислава Даванкова, предложившегоhttpst
",10. Политика
"11. Тарас! Твои соотечественники тебя игнорируют. Хорошо, если в жертвы землетрясения в Турции запишут. А вообще, впервые согласен с гей баром и передаю теплые приветы и пожелания здоровья погибшим
",11. Общее
"12. В ДНР задержан шпион и диверсант внешней разведки Украины, задачей которого было собирать данные о российских силовиках и передвижении войск
",12. Политика
"13. Взрывы на Белгородом Армия России отразила удар врага
",13. Политика
"14. Задержанный в ДНР украинский шпион расплакался, признаваясь в работе на разведку Украины
",14. Политика
"15. Идут тяжелейшие бои отражена первая волна наступления на Запорожском фронте, но враг начал вторую
",15. Политика
"16. Система ПВО сработала по двум воздушным целям над Белгородом, последствия на земле уточняются, сообщил губернатор
",16. Политика
"17. Посевная кампания в ДНР в этом году проходит легче, чем в 2022м, рассказал РИА Новости глава одного из местных предприятий
",17. Общее
"18. За последние три месяца с марта по май 2023 чистые размещений трежерис были около нуля 12 млрд долл изза лимита по долгу
",18. Финансы
"19. Враг вводит резервы, пытаясь прорвать нашу оборону на Запорожском фронте
",19. Политика
"20. Доброе утро, Крым Сегодня отличная погода Проведите этот солнечный день с пользой Подробный прогноз В Симферополе 26 и малооблачно В Севастополе 24 и ясно В Евпатории 27 и ясно В Джанкое 25 и малооблачно В Ялте 24 и ясно В Алуште 24 и малооблачно В Керчи 25 и малооблачно В Армянске 25 и малооблачно В Бахчисарае 26 и малооблачно В Феодосии 24 и ясно В Судаке 24 и малооблачно Крым 24 tvcrimea24
",20. Путешествия/релокация
"1. Корреспондент РИА Новости побывал на полигоне в ЛНР, где понаблюдал за подготовкой добровольцев
",1. Политика
"2. Пушилин в интервью РИА Новости опроверг распространяемый киевскими властями миф об украинском присутствии в Артемовске
",2. Политика
"3. Доброе утро, Страна!
",3. Общее
"4. ЦБ изза санкций смягчил контроль за внешнеторговыми операциями компаний. Санкции и усложнение международных расчетов потребовали от ЦБ смягчить подход к оценке подозрительных операций, сообщили РБК в Банке России. Но регулятор попрежнему способен отличать платежи бизнеса от вывода денег за границу. banksta
",4. Финансы
"5. Пошли птички! Аллигаторы , Ночные охотники и истребители прямо сейчас атакуют наступающие силы врага на Запорожском фронте
",5. Политика
"6. Минобороны РФ опубликовало видео с нанесением ударов вертолётами Ка52 по силам Украины на южнодонецком направлении
",6. Политика
"7. Депутаты Заксобрания Красноярского края на сессии наделили эксгубернатора Усса полномочиями члена Совета Федерации РФ
",7. Политика
"8. Женское лицо российского космоса Терешкова Валентина Владимировна Герой Советского Союза, генералмайор в отставке, 6й космонавт нашей страны, 10й космонавт мира Первая в мире женщина, совершившая космический полёт Крым 24 tvcrimea24
",8. Общее
"9. Брифинг1
",9. Общее
"10. Эксгубернатор Красноярского края Усс стал сенатором членом Совета Федерации РФ.
",10. Политика
"11. Председатель узбекского Общенационального движения Юксалиш Бобур Бекмуродов ответил на инициативу лидера партии Справедливая Россия Сергея Миронова отменить странам Средней Азии уголовное наказание за участие их граждан в СВО
",11. Политика
"12. В Белгороде системы ПВО сработали по двум воздушными целям.
",12. Общее
"13. delovie_lydi_rf
",13. Общее
"14. Экономическое чудо Германии заканчивается
",14. Финансы
"15. Белый дом Разрушение Каховской ГЭС было бы невозможным, если бы российская армия не вторглась в Украину, а потому именно РФ ответственна за то, что произошло.
",15. Политика
"16. Стоимость обслуживания долга в США стремительно увеличивается
",16. Финансы
"17. Комментируя последние сообщения СМИ о плане украинских военных по подрыву Северных потоков, Зеленский отметил, что ничего подобного Украина не делала
",17. Политика
"18. __Данные TradingView
",18. Технологии
"19. Председатель узбекского Общенационального движения Юксалиш Бобур Бекмуродов ответил на инициативу лидера партии Справедливая Россия Сергея Миронова отменить странам Средней Азии уголовное наказание за участие их граждан в СВО
",19. Политика
"20. В 1901 году, когда скончалась королева Виктория, один из английских лордов предложил принять закон, по которому престол имеет право занимать только женщина
",20. Общее
"1. Пермская общественная палата выступила с резонансным предложением организовать художественные советы для согласования выставок, концертов и спектаклей в рамках госзадания. По словам одного из авторов этого предложения, эксминистра культуры Игоря Гладнева, сейчас патриотическая общественность не может влиять на формирование творческих проектов. И то, что сейчас создается в краевых учреждениях культуры по госзаданию, порой обескураживает патриотов.kommers_perm
",1. Политика
"2. Роскомнадзор заблокировал сайты ОВДИнфо на территории России.
",2. Технологии
"3. ОАК модернизировал ИЛ96.
",3. Технологии
"4. На крыше долгостроя, расположенного на набережной Брюгге в столице Марий Эл, начали менять деревянные перекрытия
",4. Общее
"5. Дефицит кадров в Новосибирской области достиг максимальных значений
",5. Общее
"6. Картель по продаже сахара выявлен сотрудниками УФСБ в Хакасии. По делу о создании картельного сговора проходят руководство одной из компаний и пятеро индивидуальных предпринимателей. Им предъявлено обвинение. Подозреваемым грозит до шести лет лишения свободы.kommersant_siberia
",6. Финансы
"7. Смышлёная кошка выбралась из пожара навстречу спасателям в Ленобласти
",7. Общее
"8. httpsforklog.comrates курсы_валют
",8. Финансы
"9. Гендиректор Укргидроэнерго Игорь Сирота заявил, что Каховская ГЭС не подлежит восстановлению и придется отстраивать новую станцию. По его мнению на это может уйти минимум пять лет.
",9. Технологии
"10. Брифинг2
",10. Общее
"11. Маленькие, иногда будто незначительные события в прошлом могут изменить всю жизнь
",11. Общее
"12. Украинские войска нужно отодвинуть, как минимум, на 500 км от административных границ новых регионов, новый рубеж мог бы пройти по Днепру, но в дальнейшем нужно освобождать всю территорию Украины, заявил РИА Новости Пушилин
",12. Политика
"13. Переговоры о покупке российской сети Adidas c немецкой компанией ведут турецкая сеть FLO Retailing и ближневосточная Daher Group, рассказали Ведомостям два источника среди консультантов по недвижимости. Переговоры находятся на продвинутой стадии, когда отсеялось большинство кандидатов, а закрытие сделки ожидается к осени. Процесс сворачивания российского бизнеса компании сейчас продолжается, как и было анонсировано в октябре 2022 г., уточнил Ведомостям представитель головной компании Adidas. Он не опроверг информацию о том, что компания ищет покупателя и ведет переговоры с FLO Retailing и Daher Group. Приоритет для Adidas сейчас ответственный подход к процессу и поддержка сотрудников и партнеров, которых затрагивает это решение, добавил он.
",13. Финансы
"14. Изза неопределенности на фронте Прямая линия с Путиным переносится на ноябрьдекабрь
",14. Политика
"15. Уровень воды в Каховском водохранилище уже снизился примерно на 2,8 метра после прорыва дамбы утром во вторник и достиг 14,03 метра 7 июня в 1800 по местному времени, заявил глава МАГАТЭ Гросси
",15. Общее
"16. Еще один человек погиб в Димитровграде от Мистер Сидра
",16. Общее
"17. Американский производитель одежды и обуви VF Corporation бренды Vans, The North Face и др. решил закрыть свои магазины в России, а местное подразделение перевести на оптовые поставки.
",17. Fashion
"18. ВСУ осуществляют попытки полномасштабного наступления в Запорожской области РФ в течение трехчетырех дней, сообщили власти региона.
",18. Политика
"19. Американский производитель одежды и обуви VF Corporation бренды Vans, The North Face и др. решил закрыть свои магазины в России, а местное подразделение перевести на оптовые поставки.
",19. Fashion
"20. httpshooks
",20. Общее
"1. Анализ ситуации на фронте от врагов
",1. Политика
"2. Бюст женщины Пикассо был продан с аукциона за 300 миллионов рублей
",2. Шоубиз
"3. Генштаб ВСУ фактически отверг версию Зеленского и СНБО Украины о том,что Россия взорвала Каховскую ГЭС
",3. Политика
"4. По итогам мая опрошенные Коммерсантом банки отмечают рекордные объемы выдачи автокредитов. В прошедшем месяце в России было выдано 81 тыс. автокредитов почти на 118 млрд руб.
",4. Финансы
"5. Часть Симферополя осталась без света
",5. Общее
"6. Правительство подготовило дополнительные меры в сфере деофшоризации по поручению президента Владимира Путина. Бизнес в ключевых секторах и отраслях должен действовать в российской юрисдикции. Это базовый принцип, подчеркивал он в послании Федеральному собранию в феврале 2023 года.
",6. Политика
"7. О том, что понеслась, мы сказали за много часов до того, как об этом начали говорить все
",7. Общее
"8. Госсовет Татарстана предложил лишать водителей прав за нарушения, зафиксированные дорожными камерами.
",8. Общее
"9. Бежавший из России Евгений Чичваркин утверждает, что Россия справляется с санкциями и экономика продолжает работать. banksta
",9. Финансы
"10. Корреспондент РИА Новости побывал в центре и на окраинах Шебекино, пообщался с местными жителями и увидел последствия обстрелов со стороны украинских войск
",10. Политика
"11. Российские военные при помощи дронакамикадзе Ланцет3 уничтожили радиолокационную станцию зенитного ракетного комплекса IRIST, поставленного Киеву странами НАТО, следует из опубликованного видео Минобороны РФ
",11. Политика
"12. Кадровые агентства Урала фиксируют рекордную нехватку предложения на рынке труда
",12. Образовательный контент
"13. Губернатор Кожемяко получил сигнал от Кремля.httpst.memargaritasimonyan13014 Его неумеренная энергия быть везде первым и личный пиар за бюджет начинает серьезно напрягать в московских коридорах власти, да и в московских гостиных.
",13. Политика
"14. Еще один поджог релейных шкафов
",14. Общее
"15. По данным Базы в ночь на 7 июня неизвестные подожгли релейный и батарейный шкафы в районе станции Хапры Ростовская область. В результате поджога произошло срабатывание лобной занятости нескольких участков перегона Хапры РостовЗападный. В итоге было задержано отправление двух поездов.
",15. Общее
"16. В Новой Каховке снижается уровень воды после наводнения изза разрушения Каховской ГЭС
",16. Общее
